"","tag_code","antenna","date_time","interval","dummy","dummy_lead","dummy2"
"160","900_226000141000",2,2014-05-23 11:31:48,111.129999876022,1,0,2
"161","900_226000141000",2,2014-05-23 13:25:32,6823.63000011444,0,0,2
"162","900_226000141000",2,2014-05-23 17:17:43,13931.6599998474,0,1,2
"163","900_226000141000",2,2014-05-23 17:17:48,1.53999996185303,1,0,2
"164","900_226000141001",2,2014-05-17 14:17:40,0,0,1,2
"165","900_226000141001",2,2014-05-17 14:17:42,2.44000005722046,1,0,2
"166","900_226000141001",2,2014-05-24 11:32:03,594860.659999847,0,1,2
"167","900_226000141001",2,2014-05-24 11:32:17,14.1300001144409,1,0,2
"168","900_226000141003",2,2014-05-17 12:36:57,0,0,1,2
"169","900_226000141003",2,2014-05-17 12:38:05,67.8399999141693,1,0,2
"170","900_226000141005",2,2014-05-17 10:54:29,0,0,1,2
"171","900_226000141005",2,2014-05-17 10:55:12,6.64000010490417,1,0,2
"172","900_226000141005",2,2014-05-19 14:26:28,185476.129999876,0,1,2
"173","900_226000141005",2,2014-05-19 14:27:23,54.5800001621246,1,0,2
"174","900_226000141005",2,2014-05-20 10:34:58,72455.2000000477,0,1,2
"175","900_226000141005",2,2014-05-20 10:35:58,60.1199998855591,1,0,2
"176","900_226000141006",2,2014-05-19 11:40:36,0,0,1,2
"177","900_226000141006",2,2014-05-19 11:42:06,44.1799998283386,1,0,2
"178","900_226000141006",2,2014-05-23 10:58:35,342989.380000114,0,1,2
"179","900_226000141006",2,2014-05-23 11:00:03,66.7200000286102,1,0,2
"180","900_226000141008",2,2014-05-17 14:46:37,0,0,1,2
"181","900_226000141008",2,2014-05-17 14:46:57,20.3199999332428,1,0,2
"182","900_226000141008",2,2014-05-18 15:37:17,89419.7300000191,0,1,2
"183","900_226000141008",2,2014-05-18 15:37:46,9.27999997138977,1,0,2
"184","900_226000141008",2,2014-05-22 13:41:41,338634.549999952,0,0,2
"185","900_226000141008",1,2014-05-22 13:49:35,474.379999876022,0,1,2
"186","900_226000141008",1,2014-05-22 13:51:13,97.4100000858307,1,0,2
"187","900_226000141008",1,2014-05-22 13:56:22,308.169999837875,0,0,2
"188","900_226000141009",2,2014-05-13 13:57:57,0,0,1,2
"189","900_226000141009",2,2014-05-13 13:58:59,6,1,0,2
"190","900_226000141009",2,2014-05-13 13:58:59,0,0,0,2
"191","900_226000141009",2,2014-05-13 19:11:28,18749,0,0,2
"192","900_226000141009",2,2014-05-13 19:13:33,125,0,0,2
"193","900_226000141009",2,2014-05-17 11:47:20,318827.160000086,0,1,2
"194","900_226000141009",2,2014-05-17 11:47:32,11.9399998188019,1,0,2
"195","900_226000141009",2,2014-05-17 12:33:48,2776.63000011444,0,1,2
"196","900_226000141009",2,2014-05-17 12:34:21,8.8600001335144,1,0,2
"197","900_226000141014",2,2014-05-17 12:59:42,0,0,1,2
"198","900_226000141014",2,2014-05-17 12:59:59,16.8199999332428,1,0,2
"199","900_226000141014",2,2014-05-19 08:01:33,154894.549999952,0,1,2
"200","900_226000141014",1,2014-05-19 08:02:39,65.960000038147,1,0,2
"201","900_226000141015",2,2014-05-10 10:40:34,0,0,1,2
"202","900_226000141015",2,2014-05-10 10:41:04,29.6099998950958,1,0,2
"203","900_226000141015",2,2014-05-11 12:29:05,92881.2600002289,0,1,2
"204","900_226000141015",2,2014-05-11 12:29:08,3.52999997138977,1,0,2
"205","900_226000141015",2,2014-05-18 18:17:18,625689.730000019,0,1,2
"206","900_226000141015",2,2014-05-18 18:17:31,12.6099998950958,1,0,2
"207","900_226000141015",2,2014-05-20 12:48:25,153054.220000029,0,0,2
"208","900_226000141015",2,2014-05-20 12:50:38,132.579999923706,0,1,2
"209","900_226000141015",2,2014-05-20 12:51:51,73.5600001811981,1,0,2
"210","900_226000141018",2,2014-05-17 12:23:33,0,0,1,2
"211","900_226000141018",2,2014-05-17 12:23:47,13.9299998283386,1,0,2
"212","900_226000141022",2,2014-05-13 13:38:03,0,0,1,2
"213","900_226000141022",2,2014-05-13 13:38:55,20,1,0,2
"214","900_226000141022",2,2014-05-17 13:48:05,346150.889999866,0,1,2
"215","900_226000141022",2,2014-05-17 13:48:31,4.42000007629395,1,0,2
"216","900_226000141022",2,2014-05-17 13:52:01,209.890000104904,0,1,2
"217","900_226000141022",2,2014-05-17 13:54:06,3.99000000953674,1,0,2
"218","900_226000141024",2,2014-05-21 15:44:28,0,0,1,2
"219","900_226000141024",2,2014-05-21 15:45:48,52.8200001716614,1,0,2
"220","900_226000141024",2,2014-05-22 09:56:02,65413.8099999428,0,0,2
"221","900_226000141024",2,2014-05-22 09:58:16,134.730000019073,0,0,2
"222","900_226000141025",2,2014-05-17 13:58:45,0,0,1,2
"223","900_226000141025",2,2014-05-17 13:58:55,10.6200001239777,1,0,2
"224","900_226000141026",2,2014-05-17 08:04:33,0,0,1,2
"225","900_226000141026",1,2014-05-17 08:06:08,95.3400001525879,1,0,2
"226","900_226000141032",2,2014-05-17 13:44:25,0,0,1,2
"227","900_226000141032",2,2014-05-17 13:44:39,11.4900000095367,1,0,2
"228","900_226000141032",2,2014-05-17 13:54:04,564.829999923706,0,1,2
"229","900_226000141032",2,2014-05-17 13:54:29,22.1499998569489,1,0,2
"230","900_226000141032",2,2014-05-17 13:56:49,140.320000171661,0,0,2
"231","900_226000141032",2,2014-05-19 18:22:13,188724.269999981,0,1,2
"232","900_226000141032",2,2014-05-19 18:22:15,1.99000000953674,1,0,2
"233","900_226000141032",2,2014-05-20 10:26:12,57836.6199998856,0,1,2
"234","900_226000141032",2,2014-05-20 10:26:23,10.8400001525879,1,0,2
"235","900_226000141032",2,2014-05-20 10:35:37,554.539999961853,0,0,2
"236","900_226000141032",1,2014-05-20 10:47:43,725.569999933243,0,1,2
"237","900_226000141032",1,2014-05-20 10:47:46,2.54999995231628,1,0,2
"238","900_226000141033",2,2014-05-17 12:27:25,0,0,1,2
"239","900_226000141033",2,2014-05-17 12:27:33,6.99000024795532,1,0,2
"240","900_226000141033",2,2014-05-17 12:32:31,298.799999952316,0,1,2
"241","900_226000141033",2,2014-05-17 12:33:16,1.99000000953674,1,0,2
"242","900_226000141041",2,2014-05-17 15:02:03,0,0,0,2
"243","900_226000141042",2,2014-05-15 17:35:29,0,0,1,2
"244","900_226000141042",2,2014-05-15 17:35:31,2,1,0,2
"245","900_226000141042",2,2014-05-22 11:54:18,584327.119999886,0,1,2
"246","900_226000141042",2,2014-05-22 11:54:39,21.4200000762939,1,0,2
"247","900_226000141048",2,2014-05-17 14:24:08,0,0,1,2
"248","900_226000141048",2,2014-05-17 14:24:17,8.84999990463257,1,0,2
"249","900_226000141056",2,2014-05-18 17:20:20,0,0,1,2
"250","900_226000141056",1,2014-05-18 17:22:19,116.109999895096,1,0,2
"251","900_226000141057",2,2014-05-17 12:03:43,0,0,1,2
"252","900_226000141057",2,2014-05-17 12:04:01,17.4700000286102,1,0,2
"253","900_226000141060",2,2014-05-17 15:24:57,0,0,1,2
"254","900_226000141060",2,2014-05-17 15:25:26,28.289999961853,1,0,2
"255","900_226000141063",2,2014-05-17 12:28:26,0,0,1,2
"256","900_226000141063",2,2014-05-17 12:29:35,3.3199999332428,1,0,2
"257","900_226000141063",1,2014-05-17 12:38:08,512.880000114441,0,0,2
"258","900_226000141070",2,2014-05-13 05:53:15,0,0,0,2
"259","900_226000141070",2,2014-05-22 10:24:56,793900.549999952,0,0,2
"260","900_226000141070",1,2014-05-22 10:35:38,642.630000114441,0,0,2
"261","900_226000141074",2,2014-05-17 15:08:49,0,0,1,2
"262","900_226000141074",2,2014-05-17 15:08:53,3.99000000953674,1,0,2
"263","900_226000141077",2,2014-05-17 12:46:10,0,0,1,2
"264","900_226000141077",2,2014-05-17 12:47:05,49.75,1,0,2
"265","900_226000515907",2,2014-05-17 15:09:44,0,0,0,2
"266","900_226000515907",1,2014-05-17 15:13:04,200.519999980927,0,1,2
"267","900_226000515907",1,2014-05-17 15:13:05,0.659999847412109,1,0,2
"268","900_226000515907",1,2014-05-17 15:19:57,411.610000133514,0,1,2
