=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2014.05.13 08:13:37 =~=~=~=~=~=~=~=~=~=~=~=

Type 'HE' for help

>UP
Upload #23
Reader: Noname  Site: AA
--------- upload 23 start ---------
Type	Date	Time	Duration	Type	Tag ID	Ant	Count	Gap
E	2014-05-09	08:26:19.79	upload 22 complete
E	2014-05-09	08:28:05.18	parameter change: mux sequence '1'
E	2014-05-09	08:28:50.67	supply power ok 11.9V
E	2014-05-09	08:28:50.67	database file opened
E	2014-05-09	08:28:50.67	starting reader after power up
E	2014-05-09	08:36:13.33	parameter change: mux sequence '2'
E	2014-05-09	08:39:11.21	parameter change: mux sequence '12'
D	2014-05-09	08:41:18.60	00:00:00.00	HR	0000_0000000174764573	A1	1	4531
E	2014-05-09	08:46:25.82	supply power ok 12.3V
E	2014-05-09	08:46:25.82	database file opened
E	2014-05-09	08:46:25.82	starting reader after power up
D	2014-05-09	08:51:14.08	00:00:00.22	HR	0000_0000000174764573	A1	2	1277
D	2014-05-09	08:52:45.64	00:00:00.00	HR	0000_0000000174764544	A2	1	1692
D	2014-05-09	09:01:09.86	00:00:00.00	HR	0000_0000000174764573	A1	1	2695
D	2014-05-09	09:07:42.94	00:00:00.00	HR	0000_0000000174764544	A2	1	4061
D	2014-05-09	09:11:05.41	00:00:00.00	HR	0000_0000000174764573	A1	1	2695
D	2014-05-09	09:21:00.91	00:00:00.00	HR	0000_0000000174764573	A1	1	2695
D	2014-05-09	09:22:40.21	00:00:00.00	HR	0000_0000000174764544	A2	1	4061
D	2014-05-09	09:30:56.42	00:00:00.00	HR	0000_0000000174764573	A1	1	2695
D	2014-05-09	09:37:37.24	00:00:00.00	HR	0000_0000000174764544	A2	1	4060
D	2014-05-09	09:40:52.17	00:00:00.00	HR	0000_0000000174764573	A1	1	2696
D	2014-05-09	09:50:47.68	00:00:00.00	HR	0000_0000000174764573	A1	1	2695
D	2014-05-09	09:52:34.05	00:00:00.00	HR	0000_0000000174764544	A2	1	4059
D	2014-05-09	10:00:42.98	00:00:00.23	HR	0000_0000000174764573	A1	2	2694
D	2014-05-09	10:07:31.29	00:00:00.00	HR	0000_0000000174764544	A2	1	4061
D	2014-05-09	10:10:38.49	00:00:00.22	HR	0000_0000000174764573	A1	2	2694
D	2014-05-09	10:20:34.23	00:00:00.00	HR	0000_0000000174764573	A1	1	2695
D	2014-05-09	10:22:28.31	00:00:00.00	HR	0000_0000000174764544	A2	1	4060
D	2014-05-09	10:30:29.71	00:00:00.00	HR	0000_0000000174764573	A1	1	2695
D	2014-05-09	10:37:25.72	00:00:00.00	HR	0000_0000000174764544	A2	1	4062
D	2014-05-09	10:40:25.20	00:00:00.00	HR	0000_0000000174764573	A1	1	2695
D	2014-05-09	10:50:20.90	00:00:00.00	HR	0000_0000000174764573	A1	1	2696
D	2014-05-09	10:52:22.94	00:00:00.00	HR	0000_0000000174764544	A2	1	4061
D	2014-05-09	11:00:16.39	00:00:00.00	HR	0000_0000000174764573	A1	1	2695
D	2014-05-09	11:07:20.14	00:00:00.00	HR	0000_0000000174764544	A2	1	4061
D	2014-05-09	11:10:12.09	00:00:00.00	HR	0000_0000000174764573	A1	1	2696
D	2014-05-09	11:20:07.79	00:00:00.00	HR	0000_0000000174764573	A1	1	2696
D	2014-05-09	11:22:16.89	00:00:00.00	HR	0000_0000000174764544	A2	1	4059
D	2014-05-09	11:30:03.47	00:00:00.00	HR	0000_0000000174764573	A1	1	2696
D	2014-05-09	11:37:13.62	00:00:00.00	HR	0000_0000000174764544	A2	1	4059
D	2014-05-09	11:39:59.38	00:00:00.00	HR	0000_0000000174764573	A1	1	2697
D	2014-05-09	11:49:55.05	00:00:00.00	HR	0000_0000000174764573	A1	1	2696
D	2014-05-09	11:52:10.55	00:00:00.00	HR	0000_0000000174764544	A2	1	4060
D	2014-05-09	11:59:50.50	00:00:00.00	HR	0000_0000000174764573	A1	1	2695
D	2014-05-09	12:07:07.27	00:00:00.00	HR	0000_0000000174764544	A2	1	4059
D	2014-05-09	12:09:45.96	00:00:00.00	HR	0000_0000000174764573	A1	1	2695
D	2014-05-09	12:19:41.63	00:00:00.00	HR	0000_0000000174764573	A1	1	2696
D	2014-05-09	12:22:04.20	00:00:00.00	HR	0000_0000000174764544	A2	1	4060
D	2014-05-09	12:29:37.08	00:00:00.00	HR	0000_0000000174764573	A1	1	2695
D	2014-05-09	12:37:01.35	00:00:00.00	HR	0000_0000000174764544	A2	1	4061
D	2014-05-09	12:39:32.76	00:00:00.00	HR	0000_0000000174764573	A1	1	2696
D	2014-05-09	12:49:28.21	00:00:00.00	HR	0000_0000000174764573	A1	1	2695
D	2014-05-09	12:51:58.07	00:00:00.00	HR	0000_0000000174764544	A2	1	4059
D	2014-05-09	12:59:23.64	00:00:00.00	HR	0000_0000000174764573	A1	1	2695
D	2014-05-09	13:06:54.98	00:00:00.00	HR	0000_0000000174764544	A2	1	4060
D	2014-05-09	13:09:19.33	00:00:00.00	HR	0000_0000000174764573	A1	1	2696
D	2014-05-09	13:19:14.77	00:00:00.00	HR	0000_0000000174764573	A1	1	2695
D	2014-05-09	13:21:52.15	00:00:00.00	HR	0000_0000000174764544	A2	1	4061
D	2014-05-09	13:29:10.45	00:00:00.00	HR	0000_0000000174764573	A1	1	2696
D	2014-05-09	13:36:49.08	00:00:00.00	HR	0000_0000000174764544	A2	1	4060
D	2014-05-09	13:39:05.90	00:00:00.00	HR	0000_0000000174764573	A1	1	2695
D	2014-05-09	13:49:01.59	00:00:00.00	HR	0000_0000000174764573	A1	1	2696
D	2014-05-09	13:51:45.60	00:00:00.00	HR	0000_0000000174764544	A2	1	4058
D	2014-05-09	13:58:57.08	00:00:00.00	HR	0000_0000000174764573	A1	1	2695
D	2014-05-09	14:06:42.34	00:00:00.00	HR	0000_0000000174764544	A2	1	4059
D	2014-05-09	14:08:52.77	00:00:00.00	HR	0000_0000000174764573	A1	1	2696
D	2014-05-09	14:18:48.48	00:00:00.00	HR	0000_0000000174764573	A1	1	2696
D	2014-05-09	14:21:38.67	00:00:00.00	HR	0000_0000000174764544	A2	1	4057
D	2014-05-09	14:28:43.98	00:00:00.00	HR	0000_0000000174764573	A1	1	2695
D	2014-05-09	14:36:35.47	00:00:00.00	HR	0000_0000000174764544	A2	1	4059
D	2014-05-09	14:38:39.72	00:00:00.00	HR	0000_0000000174764573	A1	1	2696
D	2014-05-09	14:48:35.42	00:00:00.00	HR	0000_0000000174764573	A1	1	2696
D	2014-05-09	14:51:32.03	00:00:00.00	HR	0000_0000000174764544	A2	1	4058
D	2014-05-09	14:58:31.14	00:00:00.00	HR	0000_0000000174764573	A1	1	2696
D	2014-05-09	15:06:28.58	00:00:00.00	HR	0000_0000000174764544	A2	1	4058
D	2014-05-09	15:08:26.65	00:00:00.00	HR	0000_0000000174764573	A1	1	2695
D	2014-05-09	15:18:22.36	00:00:00.00	HR	0000_0000000174764573	A1	1	2696
D	2014-05-09	15:21:25.36	00:00:00.00	HR	0000_0000000174764544	A2	1	4059
D	2014-05-09	15:28:18.06	00:00:00.00	HR	0000_0000000174764573	A1	1	2696
D	2014-05-09	15:36:21.45	00:00:00.00	HR	0000_0000000174764544	A2	1	4056
D	2014-05-09	15:38:13.76	00:00:00.00	HR	0000_0000000174764573	A1	1	2696
D	2014-05-09	15:48:09.69	00:00:00.00	HR	0000_0000000174764573	A1	1	2697
D	2014-05-09	15:51:17.98	00:00:00.00	HR	0000_0000000174764544	A2	1	4058
D	2014-05-09	15:58:05.39	00:00:00.00	HR	0000_0000000174764573	A1	1	2696
D	2014-05-09	16:06:14.76	00:00:00.00	HR	0000_0000000174764544	A2	1	4059
D	2014-05-09	16:08:01.12	00:00:00.00	HR	0000_0000000174764573	A1	1	2696
D	2014-05-09	16:17:56.81	00:00:00.00	HR	0000_0000000174764573	A1	1	2696
D	2014-05-09	16:21:11.53	00:00:00.22	HR	0000_0000000174764544	A2	2	4059
D	2014-05-09	16:27:52.53	00:00:00.00	HR	0000_0000000174764573	A1	1	2696
D	2014-05-09	16:36:08.51	00:00:00.00	HR	0000_0000000174764544	A2	1	4059
D	2014-05-09	16:37:48.03	00:00:00.00	HR	0000_0000000174764573	A1	1	2695
D	2014-05-09	16:47:43.50	00:00:00.00	HR	0000_0000000174764573	A1	1	2695
D	2014-05-09	16:51:05.28	00:00:00.00	HR	0000_0000000174764544	A2	1	4059
D	2014-05-09	16:57:39.01	00:00:00.00	HR	0000_0000000174764573	A1	1	2695
D	2014-05-09	17:06:01.86	00:00:00.00	HR	0000_0000000174764544	A2	1	4058
D	2014-05-09	17:07:34.51	00:00:00.00	HR	0000_0000000174764573	A1	1	2695
D	2014-05-09	17:17:30.01	00:00:00.00	HR	0000_0000000174764573	A1	1	2695
D	2014-05-09	17:20:58.85	00:00:00.00	HR	0000_0000000174764544	A2	1	4060
D	2014-05-09	17:27:25.51	00:00:00.00	HR	0000_0000000174764573	A1	1	2695
D	2014-05-09	17:35:56.08	00:00:00.00	HR	0000_0000000174764544	A2	1	4061
D	2014-05-09	17:37:21.01	00:00:00.00	HR	0000_0000000174764573	A1	1	2695
D	2014-05-09	17:47:16.49	00:00:00.00	HR	0000_0000000174764573	A1	1	2695
D	2014-05-09	17:50:53.28	00:00:00.00	HR	0000_0000000174764544	A2	1	4061
D	2014-05-09	17:57:11.98	00:00:00.00	HR	0000_0000000174764573	A1	1	2695
D	2014-05-09	18:05:50.71	00:00:00.00	HR	0000_0000000174764544	A2	1	4062
D	2014-05-09	18:07:07.46	00:00:00.00	HR	0000_0000000174764573	A1	1	2695
D	2014-05-09	18:17:02.70	00:00:00.00	HR	0000_0000000174764573	A1	1	2694
D	2014-05-09	18:20:48.10	00:00:00.00	HR	0000_0000000174764544	A2	1	4062
D	2014-05-09	18:26:58.18	00:00:00.00	HR	0000_0000000174764573	A1	1	2695
D	2014-05-09	18:35:45.28	00:00:00.00	HR	0000_0000000174764544	A2	1	4061
D	2014-05-09	18:36:53.42	00:00:00.00	HR	0000_0000000174764573	A1	1	2694
D	2014-05-09	18:46:48.88	00:00:00.00	HR	0000_0000000174764573	A1	1	2695
D	2014-05-09	18:50:42.90	00:00:00.00	HR	0000_0000000174764544	A2	1	4063
D	2014-05-09	18:56:44.36	00:00:00.00	HR	0000_0000000174764573	A1	1	2695
D	2014-05-09	19:05:40.30	00:00:00.00	HR	0000_0000000174764544	A2	1	4062
D	2014-05-09	19:06:39.61	00:00:00.00	HR	0000_0000000174764573	A1	1	2694
D	2014-05-09	19:16:35.08	00:00:00.00	HR	0000_0000000174764573	A1	1	2695
D	2014-05-09	19:20:37.70	00:00:00.00	HR	0000_0000000174764544	A2	1	4062
D	2014-05-09	19:26:30.33	00:00:00.00	HR	0000_0000000174764573	A1	1	2694
D	2014-05-09	19:35:35.15	00:00:00.00	HR	0000_0000000174764544	A2	1	4062
D	2014-05-09	19:36:25.61	00:00:00.00	HR	0000_0000000174764573	A1	1	2694
D	2014-05-09	19:46:21.09	00:00:00.00	HR	0000_0000000174764573	A1	1	2695
D	2014-05-09	19:50:32.77	00:00:00.00	HR	0000_0000000174764544	A2	1	4063
D	2014-05-09	19:56:16.57	00:00:00.00	HR	0000_0000000174764573	A1	1	2695
D	2014-05-09	20:05:30.20	00:00:00.00	HR	0000_0000000174764544	A2	1	4062
D	2014-05-09	20:06:12.06	00:00:00.00	HR	0000_0000000174764573	A1	1	2695
D	2014-05-09	20:16:07.32	00:00:00.00	HR	0000_0000000174764573	A1	1	2694
D	2014-05-09	20:20:27.63	00:00:00.00	HR	0000_0000000174764544	A2	1	4062
D	2014-05-09	20:26:02.80	00:00:00.00	HR	0000_0000000174764573	A1	1	2695
D	2014-05-09	20:35:24.62	00:00:00.22	HR	0000_0000000174764544	A2	2	4060
D	2014-05-09	20:35:58.09	00:00:00.00	HR	0000_0000000174764573	A1	1	2694
D	2014-05-09	20:45:53.59	00:00:00.00	HR	0000_0000000174764573	A1	1	2695
D	2014-05-09	20:50:22.08	00:00:00.00	HR	0000_0000000174764544	A2	1	4061
D	2014-05-09	20:55:49.07	00:00:00.00	HR	0000_0000000174764573	A1	1	2695
D	2014-05-09	21:05:19.73	00:00:00.00	HR	0000_0000000174764544	A2	1	4063
D	2014-05-09	21:05:44.58	00:00:00.00	HR	0000_0000000174764573	A1	1	2695
D	2014-05-09	21:15:39.86	00:00:00.00	HR	0000_0000000174764573	A1	1	2694
D	2014-05-09	21:20:17.18	00:00:00.00	HR	0000_0000000174764544	A2	1	4062
D	2014-05-09	21:25:35.15	00:00:00.00	HR	0000_0000000174764573	A1	1	2694
D	2014-05-09	21:35:14.40	00:00:00.00	HR	0000_0000000174764544	A2	1	4061
D	2014-05-09	21:35:30.64	00:00:00.00	HR	0000_0000000174764573	A1	1	2695
D	2014-05-09	21:45:25.91	00:00:00.00	HR	0000_0000000174764573	A1	1	2694
D	2014-05-09	21:50:11.63	00:00:00.00	HR	0000_0000000174764544	A2	1	4061
D	2014-05-09	21:55:21.43	00:00:00.00	HR	0000_0000000174764573	A1	1	2695
D	2014-05-09	22:05:08.44	00:00:00.22	HR	0000_0000000174764544	A2	2	4059
D	2014-05-09	22:05:16.72	00:00:00.00	HR	0000_0000000174764573	A1	1	2694
D	2014-05-09	22:15:12.22	00:00:00.00	HR	0000_0000000174764573	A1	1	2695
D	2014-05-09	22:20:05.87	00:00:00.00	HR	0000_0000000174764544	A2	1	4061
D	2014-05-09	22:25:07.72	00:00:00.00	HR	0000_0000000174764573	A1	1	2695
D	2014-05-09	22:35:02.86	00:00:00.00	HR	0000_0000000174764544	A2	1	4060
D	2014-05-09	22:35:02.97	00:00:00.00	HR	0000_0000000174764573	A1	1	2694
D	2014-05-09	22:44:58.50	00:00:00.00	HR	0000_0000000174764573	A1	1	2695
D	2014-05-09	22:49:59.89	00:00:00.00	HR	0000_0000000174764544	A2	1	4060
D	2014-05-09	22:54:53.78	00:00:00.00	HR	0000_0000000174764573	A1	1	2694
D	2014-05-09	23:04:49.28	00:00:00.00	HR	0000_0000000174764573	A1	1	2695
D	2014-05-09	23:04:57.13	00:00:00.00	HR	0000_0000000174764544	A2	1	4061
D	2014-05-09	23:14:44.78	00:00:00.00	HR	0000_0000000174764573	A1	1	2695
D	2014-05-09	23:19:54.35	00:00:00.22	HR	0000_0000000174764544	A2	2	4061
D	2014-05-09	23:24:40.28	00:00:00.00	HR	0000_0000000174764573	A1	1	2695
D	2014-05-09	23:34:35.78	00:00:00.00	HR	0000_0000000174764573	A1	1	2695
D	2014-05-09	23:34:51.57	00:00:00.00	HR	0000_0000000174764544	A2	1	4060
D	2014-05-09	23:44:31.08	00:00:00.00	HR	0000_0000000174764573	A1	1	2694
D	2014-05-09	23:49:48.81	00:00:00.23	HR	0000_0000000174764544	A2	2	4061
D	2014-05-09	23:54:26.56	00:00:00.00	HR	0000_0000000174764573	A1	1	2695
D	2014-05-10	00:04:21.86	00:00:00.00	HR	0000_0000000174764573	A1	1	2694
D	2014-05-10	00:04:46.06	00:00:00.00	HR	0000_0000000174764544	A2	1	4060
D	2014-05-10	00:14:17.38	00:00:00.00	HR	0000_0000000174764573	A1	1	2695
D	2014-05-10	00:19:43.52	00:00:00.00	HR	0000_0000000174764544	A2	1	4062
D	2014-05-10	00:24:12.90	00:00:00.00	HR	0000_0000000174764573	A1	1	2695
