=~=~=~=~=~=~=~=~=~=~=~=	PuTTY	log	2013.05.27	8:57:05	=~=~=~=~=~=~=~=~=~=~=~=										
UP															
															
Oregon	RFID	Datalogger	Version	'4.04	'										
Datalogger	functions														
	UP	upload	detection	records											
	UH	show	upload	history											
	UT	upload	time	records											
TagTracker	functions														
	EX	export	TagTracker	database											
	IM	import	TagTracker	database											
Reader	configuration														
	DT	set	date	and	time										
	FR	factory	reset	datalogger	and	reader									
	ON	set	automatic	on/off	times										
	CG	change	reader	settings											
	MX	enter	mux	sequence											
	MV	set	minimum	voltage	before	shutdown									
	DM	select	detection	messages	to	display									
	CO	enter	comment	to	log	file									
Performance	monitor														
	SS	show	scans	per	second	and	pulse	timings							
	AD	show	reader	"voltages,"	amperages										
	AV	calibrate	analog	voltage											
	RT	read	board	temperature											
	WR	write	tag	id											
															
>UP															
05/22/2013	11:55:47	00:00.0	R	0000_0000000174764544	A3	1	2688								
05/22/2013	12:05:14	00:00.0	R	0000_0000000174764573	A1	1	5569								
05/22/2013	12:29:55	00:00.0	R	0000_0000000180573686	A2	1	8117								
05/22/2013	12:36:03	00:00.0	R	0000_0000000174764573	A1	1	5570								
05/22/2013	12:40:23	00:00.0	R	0000_0000000174764544	A3	1	8063								
05/22/2013	12:44:53	00:00.0	R	0000_0000000180573686	A2	1	2705								
05/22/2013	12:54:34	00:00.0	A	900_226000137582	A3	1	2565								
05/22/2013	12:55:15	00:00.0	R	0000_0000000174764544	A3	1	121								
05/22/2013	12:55:22	00:00.0	A	900_226000137582	A3	1	20								
05/22/2013	12:59:51	00:00.0	R	0000_0000000180573686	A2	1	2706								
05/22/2013	13:06:57	00:00.0	A	900_226000135099	A3	1	2093								
05/22/2013	13:06:57	00:00.0	A	900_226000135099	A3	1	1								
05/22/2013	13:07:13	00:00.0	A	900_226000135099	A3	1	46								
05/22/2013	13:10:06	00:00.0	R	0000_0000000174764544	A3	1	522								
05/22/2013	13:14:49	00:00.0	R	0000_0000000180573686	A2	1	2706								
05/22/2013	13:24:58	00:00.0	R	0000_0000000174764544	A3	1	2687								
05/22/2013	13:29:47	00:00.0	R	0000_0000000180573686	A2	1	2705								
05/22/2013	13:35:23	00:00.3	A	900_226000135099	A3	2	1880								
05/22/2013	13:39:51	00:00.0	R	0000_0000000174764544	A3	1	806								
05/22/2013	13:54:43	00:00.0	R	0000_0000000174764544	A3	1	2689								
05/22/2013	13:56:27	00:00.0	A	900_226000137591	A3	1	312								
05/22/2013	13:59:43	00:00.0	R	0000_0000000180573686	A2	1	5412								
05/22/2013	14:09:36	00:00.0	R	0000_0000000174764544	A3	1	2377								
05/22/2013	14:29:40	00:00.0	R	0000_0000000180573686	A2	1	5414								
05/22/2013	14:39:17	00:00.0	R	0000_0000000174764573	A1	1	22282								
05/22/2013	14:44:38	00:00.0	R	0000_0000000180573686	A2	1	2706								
05/22/2013	14:54:16	00:00.0	R	0000_0000000174764544	A3	1	8074								
05/22/2013	14:59:36	00:00.0	R	0000_0000000180573686	A2	1	2706								
05/22/2013	15:10:06	00:00.0	R	0000_0000000174764573	A1	1	5571								
05/22/2013	15:14:35	00:00.0	R	0000_0000000180573686	A2	1	2706								
05/22/2013	15:24:03	00:00.0	R	0000_0000000174764544	A3	1	5385								
05/22/2013	15:38:57	00:00.0	R	0000_0000000174764544	A3	1	2693								
05/22/2013	15:44:31	00:00.0	R	0000_0000000180573686	A2	1	5414								
05/22/2013	15:53:51	00:00.0	R	0000_0000000174764544	A3	1	2693								
05/22/2013	15:59:30	00:00.0	R	0000_0000000180573686	A2	1	2706								
05/22/2013	16:08:45	00:00.0	R	0000_0000000174764544	A3	1	2693								
05/22/2013	16:38:33	00:00.0	R	0000_0000000174764544	A3	1	5390								
05/22/2013	16:42:30	00:00.0	R	0000_0000000174764573	A1	1	16708								
05/22/2013	16:44:24	00:00.0	R	0000_0000000180573686	A2	1	8118								
05/22/2013	16:53:28	00:00.0	R	0000_0000000174764544	A3	1	2694								
05/22/2013	17:08:22	00:00.0	R	0000_0000000174764544	A3	1	2696								
05/22/2013	17:13:17	00:00.0	R	0000_0000000174764573	A1	1	5566								
05/22/2013	17:14:20	00:00.0	R	0000_0000000180573686	A2	1	5414								
05/22/2013	17:38:12	00:00.0	R	0000_0000000174764544	A3	1	5392								
05/22/2013	17:44:04	00:00.0	R	0000_0000000174764573	A1	1	5566								
05/22/2013	17:59:16	00:00.0	R	0000_0000000180573686	A2	1	8122								
05/22/2013	18:08:01	00:00.0	R	0000_0000000174764544	A3	1	5392								
05/22/2013	18:22:56	00:00.0	R	0000_0000000174764544	A3	1	2697								
05/22/2013	18:29:12	00:00.0	R	0000_0000000180573686	A2	1	5413								
05/22/2013	18:37:51	00:00.0	R	0000_0000000174764544	A3	1	2696								
05/22/2013	18:44:10	00:00.0	R	0000_0000000180573686	A2	1	2707								
05/22/2013	18:45:38	00:00.0	R	0000_0000000174764573	A1	1	11132								
05/22/2013	18:52:46	00:00.0	R	0000_0000000174764544	A3	1	2697								
05/22/2013	19:07:41	00:00.0	R	0000_0000000174764544	A3	1	2697								
05/22/2013	19:08:00	00:00.0	A	900_226000135099	A3	1	55								
05/22/2013	19:10:00	00:00.0	A	900_226000135099	A3	1	362								
05/22/2013	19:14:06	00:00.0	R	0000_0000000180573686	A2	1	5413								
05/22/2013	19:22:37	00:00.0	R	0000_0000000174764544	A3	1	2278								
05/22/2013	19:23:35	00:00.0	A	900_226000135099	A3	1	174								
05/22/2013	19:24:08	00:00.3	A	900_226000135099	A3	2	100								
05/22/2013	19:37:32	00:00.0	R	0000_0000000174764544	A3	1	2420								
05/22/2013	19:47:11	00:00.0	R	0000_0000000174764573	A1	1	11131								
05/22/2013	19:52:27	00:00.0	R	0000_0000000174764544	A3	1	2698								
05/22/2013	19:59:01	00:00.0	R	0000_0000000180573686	A2	1	8120								
05/22/2013	20:07:23	00:00.0	R	0000_0000000174764544	A3	1	2698								
05/22/2013	20:13:59	00:00.0	R	0000_0000000180573686	A2	1	2707								
05/22/2013	20:17:58	00:00.0	R	0000_0000000174764573	A1	1	5565								
05/22/2013	20:37:13	00:00.0	R	0000_0000000174764544	A3	1	5395								
05/22/2013	20:43:56	00:00.0	R	0000_0000000180573686	A2	1	5414								
05/22/2013	20:48:45	00:00.0	R	0000_0000000174764573	A1	1	5566								
05/22/2013	20:52:08	00:00.0	R	0000_0000000174764544	A3	1	2697								
