=~=~=~=~=~=~=~=~=~=~=~=	PuTTY	log	2013.05.22	8:47:01	=~=~=~=~=~=~=~=~=~=~=~=										
UP															
															
Oregon	RFID	Datalogger	Version	'4.04	'										
Datalogger	functions														
	UP	upload	detection	records											
	UH	show	upload	history											
	UT	upload	time	records											
TagTracker	functions														
	EX	export	TagTracker	database											
	IM	import	TagTracker	database											
Reader	configuration														
	DT	set	date	and	time										
	FR	factory	reset	datalogger	and	reader									
	ON	set	automatic	on/off	times										
	CG	change	reader	settings											
	MX	enter	mux	sequence											
	MV	set	minimum	voltage	before	shutdown									
	DM	select	detection	messages	to	display									
	CO	enter	comment	to	log	file									
Performance	monitor														
	SS	show	scans	per	second	and	pulse	timings							
	AD	show	reader	"voltages,"	amperages										
	AV	calibrate	analog	voltage											
	RT	read	board	temperature											
	WR	write	tag	id											
															
>UP															
upload	#12	start:	15/05/2013	09:00.9											
Site	code:	AA													
---------	upload	12	start	---------											
05/15/2013	5:09:01	upload	11	complete											
05/15/2013	5:11:45	00:00.0	R	0000_0000000174764573	A1	1	11019								
05/15/2013	5:16:08	supply	power	ok	12.4V										
05/15/2013	5:16:08	database	file	opened											
05/15/2013	5:16:08	starting	reader	after	power	up									
05/15/2013	5:17:02	00:00.0	R	0000_0000000174764544	A3	1	19								
05/15/2013	5:34:45	00:00.0	R	0000_0000000180573686	A2	1	1951								
05/15/2013	5:42:31	00:00.0	R	0000_0000000174764573	A1	1	11060								
05/15/2013	5:46:54	00:00.0	R	0000_0000000174764544	A3	1	370								
05/15/2013	5:47:16	00:00.0	A	900_226000137623	A3	1	2								
05/15/2013	5:48:00	00:00.3	A	900_226000137623	A3	2	3								
05/15/2013	5:48:43	00:01.7	A	900_226000137623	A3	2	3								
05/15/2013	5:49:43	00:00.0	R	0000_0000000180573686	A2	1	1722								
05/15/2013	5:50:28	00:01.0	A	900_226000137623	A3	3	5								
05/15/2013	5:50:41	00:00.0	A	900_226000137623	A3	1	5								
05/15/2013	5:52:02	00:00.0	A	900_226000137623	A3	1	10								
05/15/2013	5:52:37	00:00.0	A	900_226000137623	A3	1	3								
05/15/2013	5:52:48	00:00.7	A	900_226000137623	A3	3	2								
05/15/2013	5:53:33	00:00.0	A	900_226000137623	A3	1	14								
05/15/2013	5:53:35	00:00.0	A	900_226000137623	A3	1	1								
05/15/2013	5:53:42	00:25.5	A	900_226000137623	A3	3	4								
05/15/2013	6:01:50	00:00.0	R	0000_0000000174764544	A3	1	14								
05/15/2013	6:03:21	00:00.0	A	900_226000137623	A3	1	4								
05/15/2013	6:03:24	00:00.0	A	900_226000137623	A3	1	1								
05/15/2013	6:06:43	00:00.0	A	900_226000137623	A3	1	26								
05/15/2013	6:06:53	00:00.3	A	900_226000137623	A3	2	8								
05/15/2013	6:07:09	00:00.3	A	900_226000137623	A3	2	1								
05/15/2013	6:08:06	00:00.0	A	900_226000137623	A3	1	21								
05/15/2013	6:08:07	00:00.0	A	900_226000137623	A3	1	1								
05/15/2013	6:08:16	00:00.0	A	900_226000137623	A3	1	3								
05/15/2013	6:13:17	00:00.0	R	0000_0000000174764573	A1	1	12987								
05/15/2013	6:19:40	00:00.0	R	0000_0000000180573686	A2	1	3516								
05/15/2013	6:20:05	00:00.0	A	900_226000137678	A3	1	30								
05/15/2013	6:20:34	00:00.0	A	900_226000137678	A3	1	2								
05/15/2013	6:31:41	00:00.0	R	0000_0000000174764544	A3	1	32								
05/15/2013	6:34:38	00:00.0	R	0000_0000000180573686	A2	1	1868								
05/15/2013	6:46:37	00:00.0	R	0000_0000000174764544	A3	1	32								
05/15/2013	6:49:37	00:00.0	R	0000_0000000180573686	A2	1	1948								
05/15/2013	7:01:33	00:00.0	R	0000_0000000174764544	A3	1	30								
05/15/2013	7:16:29	00:00.0	R	0000_0000000174764544	A3	1	45								
05/15/2013	7:19:34	00:00.0	R	0000_0000000180573686	A2	1	3927								
05/15/2013	7:19:46	00:00.3	A	900_226000137678	A3	2	14								
05/15/2013	7:21:45	00:00.0	A	900_226000137678	A3	1	9								
05/15/2013	7:22:41	00:00.0	A	900_226000137678	A3	1	12								
05/15/2013	7:22:58	00:00.7	A	900_226000137678	A3	3	9								
05/15/2013	7:23:17	00:00.0	A	900_226000137678	A3	1	5								
05/15/2013	7:31:24	00:00.0	R	0000_0000000174764544	A3	1	47								
05/15/2013	7:34:33	00:00.0	R	0000_0000000180573686	A2	1	2025								
05/15/2013	7:45:38	00:00.0	R	0000_0000000174764573	A1	1	37675								
05/15/2013	7:46:19	00:00.0	R	0000_0000000174764544	A3	1	160								
05/15/2013	7:49:31	00:00.0	R	0000_0000000180573686	A2	1	2021								
05/15/2013	8:01:14	00:00.0	R	0000_0000000174764544	A3	1	117								
05/15/2013	8:04:30	00:00.0	R	0000_0000000180573686	A2	1	2061								
05/15/2013	8:12:53	00:00.3	A	900_226000137678	A3	2	134								
05/15/2013	8:16:09	00:00.0	R	0000_0000000174764544	A3	1	35								
05/15/2013	8:19:28	00:00.0	R	0000_0000000180573686	A2	1	2104								
05/15/2013	8:33:16	00:00.0	A	900_226000137678	A3	1	187								
05/15/2013	8:33:32	00:00.0	A	900_226000137678	A3	1	4								
