

upload #10 start: 05/03/2013 06:32:24.93
Site code: AA
--------- upload 10 start ---------
05/03/2013 06:32:24.93 upload 9 complete
05/03/2013 06:40:09.42 supply power ok 13.1V
05/03/2013 06:40:09.42 database file opened
05/03/2013 06:40:09.42 starting reader after power up
05/03/2013 11:02:17.40  00:00:00.33 A 900_226000135160 A3    2    29
05/03/2013 11:02:19.06  00:00:00.00 A 900_226000135160 A3    1     3
05/03/2013 11:02:44.25  00:00:00.33 A 900_226000135160 A3    2    75
05/03/2013 11:02:46.25  00:00:00.33 A 900_226000135160 A3    2     4
05/03/2013 11:02:57.18  00:00:00.33 A 900_226000135160 A3    2    31
05/03/2013 11:03:28.12  00:00:00.00 R 0000_0000000174764573 A1    1  8823
05/03/2013 11:03:31.65  00:00:00.00 A 900_226000135160 A3    1   102
05/03/2013 11:03:34.97  00:00:00.33 A 900_226000135160 A3    2     9
05/03/2013 11:03:37.30  00:00:00.33 A 900_226000135160 A3    2     5
05/03/2013 11:03:52.22  00:00:00.33 A 900_226000135160 A3    2    43
05/03/2013 11:03:55.86  00:00:00.00 R 0000_0000000174764544 A3    1     9
05/03/2013 11:04:04.81  00:00:00.00 A 900_226000135160 A3    1    26
05/03/2013 11:04:18.08  00:00:00.00 A 900_226000135160 A3    1    39
05/03/2013 11:04:23.05  00:00:00.33 A 900_226000135160 A3    2    14
05/03/2013 11:04:35.97  00:00:01.33 A 900_226000135160 A3    5    37
05/03/2013 11:04:41.29  00:00:00.33 A 900_226000135160 A3    2    11
05/03/2013 11:04:47.58  00:00:00.33 A 900_226000135160 A3    2    17
05/03/2013 11:05:03.50  00:00:00.67 A 900_226000135160 A3    3    46
05/03/2013 11:05:05.83  00:00:00.00 A 900_226000135160 A3    1     4
05/03/2013 11:05:22.07  00:00:00.00 A 900_226000135160 A3    1    48
05/03/2013 11:05:26.05  00:00:00.00 A 900_226000135160 A3    1    11
05/03/2013 11:05:34.66  23:59:59.34 A 900_226000135160 A3    2    25
05/03/2013 11:05:51.24  00:00:00.00 A 900_226000135160 A3    1    48
05/03/2013 11:05:52.24  00:00:00.00 A 900_226000135160 A3    1     2
05/03/2013 11:06:38.64  00:00:00.00 A 900_226000135160 A3    1   139
05/03/2013 11:06:40.95  00:00:00.00 A 900_226000135160 A3    1     6
05/03/2013 11:06:46.59  00:00:00.33 A 900_226000135160 A3    2    16
05/03/2013 11:07:26.70  00:00:00.00 A 900_226000135160 A3    1   119
05/03/2013 11:07:59.85  00:00:00.00 A 900_226000135160 A3    1    99
05/03/2013 11:08:03.50  00:00:00.00 A 900_226000135160 A3    1    10
05/03/2013 11:08:21.40  00:00:00.00 A 900_226000135160 A3    1    53
05/03/2013 11:08:26.38  00:00:00.33 A 900_226000135160 A3    2    14
05/03/2013 11:08:31.02  00:00:00.00 A 900_226000135160 A3    1    12
05/03/2013 11:08:40.29  00:00:00.33 A 900_226000135160 A3    2    27
05/03/2013 11:08:42.62  00:00:00.00 A 900_226000135160 A3    1     2
05/03/2013 11:08:44.28  00:00:00.00 A 900_226000135160 A3    1     7
05/03/2013 11:09:07.81  00:00:00.34 A 900_226000135160 A3    2    70
05/03/2013 11:09:14.44  00:00:00.00 A 900_226000135160 A3    1    18
05/03/2013 11:18:50.81  00:00:00.00 R 0000_0000000174764544 A3    1  1738
05/03/2013 11:33:45.32  00:00:00.00 R 0000_0000000174764544 A3    1  2698
05/03/2013 11:42:17.66  00:00:00.00 A 900_226000135157 A3    1  1545
05/03/2013 11:42:25.95  00:00:00.00 A 900_226000135157 A3    1    24
05/03/2013 11:43:11.36  00:00:00.33 A 900_226000135157 A3    2   136
05/03/2013 11:43:27.82  00:00:00.00 R 0000_0000000180573686 A2    1  5352
05/03/2013 11:43:47.81  00:00:00.67 A 900_226000135157 A3    3   108
05/03/2013 11:58:26.61  00:00:00.00 R 0000_0000000180573686 A2    1  1057
05/03/2013 12:03:35.24  00:00:00.00 R 0000_0000000174764544 A3    1  3580
05/03/2013 12:03:37.90  00:00:00.00 A 900_226000135106 A3    1     7
