=~=~=~=~=~=~=~=~=~=~=~=	PuTTY	log	2013.06.04	8:41:15	=~=~=~=~=~=~=~=~=~=~=~=										
AD															
															
Oregon	RFID	Datalogger	Version	'4.04	'										
Datalogger	functions														
	UP	upload	detection	records											
	UH	show	upload	history											
	UT	upload	time	records											
TagTracker	functions														
	EX	export	TagTracker	database											
	IM	import	TagTracker	database											
Reader	configuration														
	DT	set	date	and	time										
	FR	factory	reset	datalogger	and	reader									
	ON	set	automatic	on/off	times										
	CG	change	reader	settings											
	MX	enter	mux	sequence											
	MV	set	minimum	voltage	before	shutdown									
	DM	select	detection	messages	to	display									
	CO	enter	comment	to	log	file									
Performance	monitor														
	SS	show	scans	per	second	and	pulse	timings							
	AD	show	reader	"voltages,"	amperages										
	AV	calibrate	analog	voltage											
	RT	read	board	temperature											
	WR	write	tag	id											
															
>AD															
	supply	supply	clock												
	amps	volts	volts												
															
Rx	0.16	Tx	A3	2.01	EA	0.83	12.3	V	0	V	30:24.5				
															
Rx	0.16	Tx	A1	0.93	A2	0.97	A3	2.01	EA	0.57	12.4	V	0	V	30:24.0
															
Rx	0.16	Tx	A1	0.94	A2	0.99	A3	2	EA	0.57	12.3	V	0	V	30:25.5
															
Rx	0.16	Tx	A1	0.93	A2	0.98	A3	2.01	EA	0.57	12.3	V	0	V	30:26.0
															
Rx	0.16	Tx	A1	0.85	A2	0.98	A3	2	EA	0.57	12.4	V	0	V	30:26.5
															
Rx	0.18	Tx	A1	0.94	A2	0.98	A3	2.01	EA	0.59	12.4	V	0	V	30:27.1
															
Rx	0.16	Tx	A1	0.93	A2	0.99	A3	1.85	EA	0.55	12.3	V	0	V	30:27.6
															
Rx	0.16	Tx	A1	0.94	A2	0.98	A3	2.01	EA	0.57	12.4	V	0	V	30:28.1
															
>UP															
upload	#14	start:	27/05/2013	47:12.0											
Site	code:	AA													
---------	upload	14	start	---------											
05/27/2013	5:47:12	upload	13	complete											
05/27/2013	5:55:32	00:00.0	R	0000_0000000174764544	A3	1	1292								
05/27/2013	5:56:13	00:00.0	R	0000_0000000174764573	A1	1	3718								
05/27/2013	6:01:00	00:00.0	R	0000_0000000180573686	A2	1	1666								
05/27/2013	6:10:28	00:00.0	R	0000_0000000174764544	A3	1	1028								
05/27/2013	6:15:58	00:00.0	R	0000_0000000180573686	A2	1	1387								
05/27/2013	6:27:01	00:00.0	R	0000_0000000174764573	A1	1	11550								
05/27/2013	6:30:56	00:00.0	R	0000_0000000180573686	A2	1	1369								
05/27/2013	6:40:21	00:00.0	R	0000_0000000174764544	A3	1	2318								
05/27/2013	7:00:53	00:00.0	R	0000_0000000180573686	A2	1	2663								
05/27/2013	7:15:51	00:00.0	R	0000_0000000180573686	A2	1	1412								
05/27/2013	7:25:08	00:00.0	R	0000_0000000174764544	A3	1	3184								
05/27/2013	7:28:38	00:00.0	R	0000_0000000174764573	A1	1	23339								
05/27/2013	7:30:49	00:00.0	R	0000_0000000180573686	A2	1	1472								
05/27/2013	7:45:47	00:00.0	R	0000_0000000180573686	A2	1	1480								
05/27/2013	7:54:59	00:00.0	R	0000_0000000174764544	A3	1	2423								
05/27/2013	7:59:25	00:00.0	R	0000_0000000174764573	A1	1	10974								
05/27/2013	8:00:44	00:00.0	R	0000_0000000180573686	A2	1	1588								
05/27/2013	8:09:54	00:00.0	R	0000_0000000174764544	A3	1	1477								
05/27/2013	8:15:43	00:00.0	R	0000_0000000180573686	A2	1	1581								
05/27/2013	8:24:50	00:00.0	R	0000_0000000174764544	A3	1	1363								
05/27/2013	8:30:41	00:00.0	R	0000_0000000180573686	A2	1	1698								
05/27/2013	8:39:46	00:00.0	R	0000_0000000174764544	A3	1	1283								
05/27/2013	8:45:38	00:00.0	R	0000_0000000180573686	A2	1	1734								
05/27/2013	8:54:41	00:00.0	R	0000_0000000174764544	A3	1	1293								
05/27/2013	9:00:36	00:00.0	R	0000_0000000180573686	A2	1	1805								
05/27/2013	9:01:00	00:00.0	R	0000_0000000174764573	A1	1	20839								
05/27/2013	9:09:36	00:00.0	R	0000_0000000174764544	A3	1	1443								
05/27/2013	9:24:31	00:00.0	R	0000_0000000174764544	A3	1	1377								
05/27/2013	9:39:27	00:00.0	R	0000_0000000174764544	A3	1	1368								
05/27/2013	10:00:27	00:00.0	R	0000_0000000180573686	A2	1	7248								
05/27/2013	10:24:12	00:00.0	R	0000_0000000174764544	A3	1	4109								
05/27/2013	10:30:23	00:00.0	R	0000_0000000180573686	A2	1	3273								
05/27/2013	10:33:21	00:00.0	R	0000_0000000174764573	A1	1	30884								
05/27/2013	10:39:06	00:00.0	R	0000_0000000174764544	A3	1	1311								
05/27/2013	10:45:21	00:00.0	R	0000_0000000180573686	A2	1	1476								
05/27/2013	10:53:59	00:00.0	R	0000_0000000174764544	A3	1	1351								
05/27/2013	11:00:19	00:00.0	R	0000_0000000180573686	A2	1	1557								
